,Country,TotalCases,TotalDeaths,TotalRecovered,date
3320,Sri Lanka,1,0.0,0.0,1/29/20
3319,Finland,1,0.0,0.0,1/29/20
3318,United Arab Emirates,4,0.0,0.0,1/29/20
3317,Nepal,1,0.0,0.0,1/29/20
3316,Cambodia,1,0.0,0.0,1/29/20
3315,Vietnam,2,0.0,0.0,1/29/20
3314,Canada,3,0.0,0.0,1/29/20
3313,Germany,4,0.0,0.0,1/29/20
3312,France,4,0.0,0.0,1/29/20
3311,South Korea,4,0.0,0.0,1/29/20
3310,United States,5,0.0,0.0,1/29/20
3309,Australia,7,0.0,0.0,1/29/20
3308,Japan,7,0.0,0.0,1/29/20
3307,Singapore,10,0.0,0.0,1/29/20
3306,Malaysia,7,0.0,0.0,1/29/20
3305,Macau,7,0.0,0.0,1/29/20
3304,Taiwan,8,0.0,0.0,1/29/20
3303,Hong Kong,11,0.0,0.0,1/29/20
3302,Thailand,14,0.0,0.0,1/29/20
3301,China,6070,133.0,0.0,1/29/20
3300,Sri Lanka,1,0.0,0.0,1/30/20
3299,India,1,0.0,0.0,1/30/20
3298,Philippines,1,0.0,0.0,1/30/20
3297,Finland,1,0.0,0.0,1/30/20
3296,United Arab Emirates,4,0.0,0.0,1/30/20
3295,Nepal,1,0.0,0.0,1/30/20
3294,Cambodia,1,0.0,0.0,1/30/20
3293,Vietnam,5,0.0,0.0,1/30/20
3292,Canada,3,0.0,0.0,1/30/20
3291,Germany,4,0.0,0.0,1/30/20
3290,France,5,0.0,0.0,1/30/20
3289,South Korea,6,0.0,0.0,1/30/20
3288,United States,6,0.0,0.0,1/30/20
3287,Australia,9,0.0,0.0,1/30/20
3286,Japan,14,0.0,0.0,1/30/20
3285,Singapore,13,0.0,0.0,1/30/20
3284,Malaysia,8,0.0,0.0,1/30/20
3283,Macau,7,0.0,0.0,1/30/20
3282,Taiwan,9,0.0,0.0,1/30/20
3281,Hong Kong,11,0.0,0.0,1/30/20
3280,Thailand,14,0.0,0.0,1/30/20
3279,China,8123,170.0,0.0,1/30/20
3278,Cambodia,1,0.0,0.0,1/31/20
3277,Sri Lanka,1,0.0,0.0,1/31/20
3276,Sweden,1,0.0,0.0,1/31/20
3275,Finland,1,0.0,0.0,1/31/20
3274,India,1,0.0,0.0,1/31/20
3273,Nepal,1,0.0,0.0,1/31/20
3272,Philippines,1,0.0,0.0,1/31/20
3271,United Kingdom,2,0.0,0.0,1/31/20
3270,Italy,2,0.0,0.0,1/31/20
3269,Russia,2,0.0,0.0,1/31/20
3268,Canada,4,0.0,0.0,1/31/20
3267,United Arab Emirates,4,0.0,0.0,1/31/20
3266,Vietnam,5,0.0,0.0,1/31/20
3265,France,6,0.0,0.0,1/31/20
3264,Germany,6,0.0,0.0,1/31/20
3263,Macao,7,0.0,0.0,1/31/20
3262,United States,7,0.0,0.0,1/31/20
3261,Malaysia,8,0.0,0.0,1/31/20
3260,Australia,9,0.0,0.0,1/31/20
3259,Taiwan,10,0.0,0.0,1/31/20
3258,South Korea,11,0.0,0.0,1/31/20
3257,Hong Kong,13,0.0,0.0,1/31/20
3256,Singapore,16,0.0,0.0,1/31/20
3255,Japan,17,0.0,0.0,1/31/20
3254,Thailand,19,0.0,0.0,1/31/20
3253,China,9798,213.0,0.0,1/31/20
3252,Spain,1,0.0,0.0,2/1/20
3251,Sweden,1,0.0,0.0,2/1/20
3250,Nepal,1,0.0,0.0,2/1/20
3249,Sri Lanka,1,0.0,0.0,2/1/20
3248,Philippines,1,0.0,0.0,2/1/20
3247,Finland,1,0.0,0.0,2/1/20
3246,India,1,0.0,0.0,2/1/20
3245,Cambodia,1,0.0,0.0,2/1/20
3244,U.K.,2,0.0,0.0,2/1/20
3243,Russia,2,0.0,0.0,2/1/20
3242,Italy,2,0.0,0.0,2/1/20
3241,Canada,4,0.0,0.0,2/1/20
3240,U.A.E.,4,0.0,0.0,2/1/20
3239,France,6,0.0,0.0,2/1/20
3238,Vietnam,6,0.0,0.0,2/1/20
3237,Macao,7,0.0,0.0,2/1/20
3236,Germany,7,0.0,0.0,2/1/20
3235,U.S.,7,0.0,0.0,2/1/20
3234,Malaysia,8,0.0,0.0,2/1/20
3233,Taiwan,10,0.0,0.0,2/1/20
3232,Australia,12,0.0,0.0,2/1/20
3231,South Korea,12,0.0,0.0,2/1/20
3230,Hong Kong,13,0.0,0.0,2/1/20
3229,Singapore,18,0.0,0.0,2/1/20
3228,Thailand,19,0.0,0.0,2/1/20
3227,Japan,20,0.0,0.0,2/1/20
3226,China,11860,259.0,0.0,2/1/20
3225,Spain,1,0.0,0.0,2/2/20
3224,Cambodia,1,0.0,0.0,2/2/20
3223,Nepal,1,0.0,0.0,2/2/20
3222,Sri Lanka,1,0.0,0.0,2/2/20
3221,Sweden,1,0.0,0.0,2/2/20
3220,Finland,1,0.0,0.0,2/2/20
3219,Russia,2,0.0,0.0,2/2/20
3218,Italy,2,0.0,0.0,2/2/20
3217,U.K.,2,0.0,0.0,2/2/20
3216,India,2,0.0,0.0,2/2/20
3215,Philippines,2,0.0,0.0,2/2/20
3214,Canada,4,0.0,0.0,2/2/20
3213,U.A.E.,5,0.0,0.0,2/2/20
3212,France,6,0.0,0.0,2/2/20
3211,Vietnam,7,0.0,0.0,2/2/20
3210,U.S.,8,0.0,0.0,2/2/20
3209,Macao,8,0.0,0.0,2/2/20
3208,Malaysia,8,0.0,0.0,2/2/20
3207,Taiwan,10,0.0,0.0,2/2/20
3206,Germany,10,0.0,0.0,2/2/20
3205,Australia,12,0.0,0.0,2/2/20
3204,Hong Kong,14,0.0,0.0,2/2/20
3203,South Korea,15,0.0,0.0,2/2/20
3202,Singapore,18,0.0,0.0,2/2/20
3201,Thailand,19,0.0,0.0,2/2/20
3200,Japan,20,0.0,0.0,2/2/20
3199,China,14497,0.0,304.0,2/2/20
3198,Spain,1,0.0,0.0,2/3/20
3197,Cambodia,1,0.0,0.0,2/3/20
3196,Sweden,1,0.0,0.0,2/3/20
3195,Nepal,1,0.0,0.0,2/3/20
3194,Sri Lanka,1,0.0,1.0,2/3/20
3193,Finland,1,0.0,0.0,2/3/20
3192,Russia,2,0.0,0.0,2/3/20
3191,U.K.,2,0.0,0.0,2/3/20
3190,Italy,2,0.0,0.0,2/3/20
3189,Philippines,2,1.0,0.0,2/3/20
3188,India,3,0.0,0.0,2/3/20
3187,Canada,4,0.0,0.0,2/3/20
3186,U.A.E.,5,0.0,0.0,2/3/20
3185,France,6,0.0,0.0,2/3/20
3184,Malaysia,8,0.0,0.0,2/3/20
3183,Macao,8,0.0,0.0,2/3/20
3182,Vietnam,8,0.0,1.0,2/3/20
3181,Taiwan,10,0.0,0.0,2/3/20
3180,Germany,10,0.0,0.0,2/3/20
3179,U.S.,11,0.0,0.0,2/3/20
3178,Australia,12,0.0,2.0,2/3/20
3177,South Korea,15,0.0,0.0,2/3/20
3176,Hong Kong,15,0.0,0.0,2/3/20
3175,Singapore,18,0.0,0.0,2/3/20
3174,Thailand,19,0.0,7.0,2/3/20
3173,Japan,20,0.0,0.0,2/3/20
3172,China,17302,361.0,512.0,2/3/20
3171,Spain,1,0.0,0.0,2/4/20
3170,Belgium,1,0.0,0.0,2/4/20
3169,Sweden,1,0.0,0.0,2/4/20
3168,Sri Lanka,1,0.0,1.0,2/4/20
3167,Nepal,1,0.0,0.0,2/4/20
3166,Cambodia,1,0.0,0.0,2/4/20
3165,Finland,1,0.0,0.0,2/4/20
3164,U.K.,2,0.0,0.0,2/4/20
3163,Italy,2,0.0,0.0,2/4/20
3162,Russia,2,0.0,0.0,2/4/20
3161,Philippines,2,1.0,0.0,2/4/20
3160,India,3,0.0,0.0,2/4/20
3159,Canada,5,0.0,0.0,2/4/20
3158,U.A.E.,5,0.0,0.0,2/4/20
3157,France,6,0.0,0.0,2/4/20
3156,Vietnam,10,0.0,3.0,2/4/20
3155,Macao,10,0.0,0.0,2/4/20
3154,Malaysia,10,0.0,0.0,2/4/20
3153,USA,11,0.0,0.0,2/4/20
3152,Taiwan,11,0.0,0.0,2/4/20
3151,Germany,12,0.0,0.0,2/4/20
3150,Australia,13,0.0,3.0,2/4/20
3149,S. Korea,16,0.0,0.0,2/4/20
3148,Hong Kong,17,1.0,0.0,2/4/20
3147,Japan,23,0.0,0.0,2/4/20
3146,Singapore,24,0.0,1.0,2/4/20
3145,Thailand,25,0.0,7.0,2/4/20
3144,China,23658,490.0,861.0,2/4/20
3143,Belgium,1,0.0,0.0,2/5/20
3142,Spain,1,0.0,0.0,2/5/20
3141,Cambodia,1,0.0,0.0,2/5/20
3140,Sri Lanka,1,0.0,1.0,2/5/20
3139,Sweden,1,0.0,0.0,2/5/20
3138,Nepal,1,0.0,0.0,2/5/20
3137,Finland,1,0.0,0.0,2/5/20
3136,Russia,2,0.0,0.0,2/5/20
3135,Italy,2,0.0,0.0,2/5/20
3134,U.K.,2,0.0,0.0,2/5/20
3133,India,3,0.0,0.0,2/5/20
3132,Philippines,3,1.0,0.0,2/5/20
3131,U.A.E.,5,0.0,0.0,2/5/20
3130,Canada,5,0.0,0.0,2/5/20
3129,France,6,0.0,0.0,2/5/20
3128,Vietnam,10,0.0,3.0,2/5/20
3127,Macao,10,0.0,0.0,2/5/20
3126,Taiwan,11,0.0,0.0,2/5/20
3125,USA,11,0.0,0.0,2/5/20
3124,Germany,12,0.0,0.0,2/5/20
3123,Malaysia,12,0.0,0.0,2/5/20
3122,Australia,14,0.0,3.0,2/5/20
3121,S. Korea,19,0.0,1.0,2/5/20
3120,Hong Kong,21,1.0,0.0,2/5/20
3119,Thailand,25,0.0,8.0,2/5/20
3118,Singapore,28,0.0,1.0,2/5/20
3117,Japan,35,0.0,0.0,2/5/20
3116,China,24399,491.0,1022.0,2/5/20
3115,Belgium,1,0.0,0.0,2/6/20
3114,Spain,1,0.0,0.0,2/6/20
3113,Sweden,1,0.0,0.0,2/6/20
3112,Finland,1,0.0,1.0,2/6/20
3111,Cambodia,1,0.0,0.0,2/6/20
3110,Nepal,1,0.0,0.0,2/6/20
3109,Sri Lanka,1,0.0,1.0,2/6/20
3108,Russia,2,0.0,0.0,2/6/20
3107,Italy,3,0.0,0.0,2/6/20
